country,population,distance,plastics_trade,machine_trade
Vietnam,95.5,1121,849393,136502
Venezuela,28.8,10461,961,151
USA,327,5423,802859,527853
"United 
Kingdom",66.5,10192,64212,42385
UAE,9.6,5043,61627,21075
Thailand,69,2259,255410,74256
Syria,16.9,6932,18715,303
SouthAfrica,57.8,7086,53258,13619
Singapore,5.6,1621,75144,20796
SaudiArabia,33.7,5942,58369,9874
ROK,51.5,1689,152791,39386
PuertoRico,3.2,9905,3051,578
Philippines,106.7,858,111118,53020
Panama,4.1,9136,6879,9994
Oman,4.8,4767,6827,934
Nigeria,195.8,9641,11987,6693
NewZealand,4.9,4802,42962,2914
Mexico,126.1,6428,117543,48226
Malaysia,31.5,1460,403037,52665
Kuwait,4.1,5444,14412,2243
Jordan,10,6488,9657,2376
Japan,126.8,1145,918493,160304
IvoryCoast,25,9743,2545,1855
Iran,81.8,5486,47075,6066
Indonesia,267.7,1702,177724,70397
India,1352.6,3556,628111,65965
HongKong,7.4,342,593456,61628
China,1386.4,164,3935004,527380
Chile,18.7,10295,17073,8107
Canada,37,10888,99051,30064
Brazil,209.5,10410,128562,18390
Australia,25,3365,284265,30726
Argentina,44.5,10420,13892,9839
"
Switzerland",8.5,8015,917,2812
"
Sweden",10.1,10588,9448,3889
"
Spain",46.7,9408,32306,15516
"
Netherlands",17.2,9937,115830,65742
"
Italy",60.4,7828,43759,33894
"
Germany",82.9,10116,77555,55196
"
France",67,7980,23342,20346
"
Belgium",11.4,9914,33921,10961
